,source,title,episodes,score,favorites,genres,start_date,total_duration
153,manga,Kuroko no Basket,25.0,8.08,19843,['Sports'],2012-04-08,604
154,light_novel,Owarimonogatari,12.0,8.46,2710,"['Comedy', 'Mystery', 'Supernatural']",2015-10-04,316
155,manga,Trigun,26.0,8.22,13471,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",1998-04-01,641
156,novel,Hyouka,22.0,8.09,25078,"['Mystery', 'Slice of Life']",2012-04-23,564
157,light_novel,Ookami to Koushinryou II,12.0,8.33,4119,"['Adventure', 'Fantasy', 'Romance']",2009-07-09,288
158,light_novel,Owarimonogatari 2nd Season,7.0,8.9,8118,"['Comedy', 'Mystery', 'Supernatural']",2017-08-12,157
159,manga,Tokyo Revengers,24.0,8.1,23222,"['Action', 'Drama', 'Supernatural']",2021-04-11,568
160,light_novel,Nisemonogatari,11.0,8.15,3790,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']",2012-01-08,285
161,novel,Toki wo Kakeru Shoujo,1.0,8.13,5553,"['Drama', 'Romance', 'Sci-Fi']",2006-07-15,99
162,manga,Fruits Basket 1st Season,25.0,8.22,13232,"['Drama', 'Fantasy', 'Romance']",2019-04-06,597
163,manga,Usagi Drop,11.0,8.38,5891,['Slice of Life'],2011-07-08,252
164,novel,Majo no Takkyuubin,1.0,8.21,4675,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",1989-07-29,103
165,novel,Shinsekai yori,25.0,8.3,21245,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']",2012-09-29,566
166,original,Sora yori mo Tooi Basho,13.0,8.53,12800,"['Adventure', 'Comedy', 'Drama']",2018-01-02,308
167,original,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,1.0,8.46,7858,"['Drama', 'Mystery', 'Suspense']",2013-10-26,116
168,visual_novel,Steins;Gate: Oukoubakko no Poriomania,1.0,8.3,771,"['Comedy', 'Sci-Fi']",2012-02-22,24
169,visual_novel,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,1.0,8.52,3242,"['Action', 'Fantasy', 'Supernatural']",2019-01-12,117
